filename,chroma_stft,chroma_cqt,chroma_cens,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,rolloff,zero_crossing_rate,polynomial_coefficients,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
Dataset/ConversationWithoutTune/11.amr,0.3161742687225342,0.4831029933218509,0.26155310283726035,0.19808022677898407,1088.4756360555257,815.5837552034168,25.376051436047813,0.00017721277254167944,1914.3439797794117,0.08408649918300654,1.9007222832719406,-9.652357094875851e-05,-230.00970458984375,191.34722900390625,-39.83036422729492,15.75954532623291,23.320966720581055,-40.18206024169922,-3.6748757362365723,0.34128430485725403,-35.20317077636719,-9.389612197875977,-4.718677043914795,-21.601974487304688,-2.3452744483947754,-4.153597354888916,-13.88143253326416,2.4376332759857178,-3.494626522064209,-12.777050018310547,-0.1857154667377472,-4.085770130157471,Talk
Dataset/ConversationWithoutTune/13.amr,0.3404005467891693,0.5098406517215106,0.27233694160403427,0.15408110618591309,1022.7072200505806,734.6938336803838,23.1790040813059,0.008786654099822044,1694.4925132147112,0.08201961733174509,1.4513412422171685,-0.0011686010408020725,-272.2914733886719,161.21121215820312,-19.47794532775879,6.308201313018799,9.231346130371094,-32.5926513671875,-7.327291965484619,-4.679019927978516,-24.551044464111328,-4.371615409851074,-3.9584004878997803,-14.853358268737793,-0.6777163147926331,-5.744056701660156,-12.863012313842773,-0.1034015640616417,-5.78834867477417,-10.39337158203125,0.8179497718811035,-4.66534948348999,Talk
Dataset/ConversationWithoutTune/10.aac,0.3487696349620819,0.5644544882252587,0.27758742159885774,0.1700657457113266,1092.5159762433088,1012.5997170741501,25.20846240503248,0.0019119984935969114,2014.103100002076,0.07170771285429584,1.7440524103572783,0.0014348826897883679,-211.636474609375,173.54225158691406,-24.447080612182617,27.163951873779297,-11.304644584655762,-14.364222526550293,11.349884033203125,-13.20576286315918,4.066579818725586,-6.805577754974365,-12.442460060119629,7.03738260269165,-7.241133213043213,-0.7398294806480408,1.4874742031097412,-5.335870265960693,-0.856821596622467,-10.366883277893066,0.17188528180122375,0.6434473991394043,Talk
Dataset/ConversationWithoutTune/12.amr,0.34470945596694946,0.5148061351450323,0.27270611444297155,0.2679939568042755,872.5654667021755,704.807762413926,24.170906095943362,0.0003672376915346831,1562.5927734375,0.060525299781976745,2.789530824015197,0.0013092120920712204,-198.9915313720703,200.06082153320312,-25.646926879882812,14.446636199951172,32.313899993896484,-27.9639835357666,-9.397220611572266,-1.616245985031128,-31.582305908203125,-13.562275886535645,-1.825622320175171,-16.206735610961914,-8.337882995605469,-6.05820369720459,-11.77230453491211,-3.9689104557037354,-6.912596225738525,-10.67216682434082,-3.0551698207855225,-7.240983963012695,Talk
Dataset/ConversationWithoutTune/16.amr,0.30457037687301636,0.45155374538485976,0.26370166762502995,0.19631929695606232,924.9008195179791,712.749630162415,24.820102350228844,0.020914927124977112,1562.1696822140195,0.06904588051892202,1.7685045769690715,0.006480295696422535,-263.9319152832031,173.9392852783203,-21.58431053161621,6.012260913848877,6.614806175231934,-39.80268096923828,-9.138739585876465,-3.502539873123169,-27.095121383666992,-7.072766304016113,-3.4443392753601074,-13.384572982788086,-1.5754579305648804,-7.1092753410339355,-9.886204719543457,2.9376027584075928,-7.715771198272705,-11.00873851776123,3.2328336238861084,-5.269447326660156,Talk
Dataset/ConversationWithoutTune/17.amr,0.2902451157569885,0.4587804986073894,0.2683385677181704,0.16054333746433258,956.8432342175797,695.2267565217195,23.764107368577648,0.04985025152564049,1651.2278238932292,0.06766312210648148,1.5519582818307085,0.0006107499695558752,-293.3659362792969,162.59609985351562,-30.659400939941406,-5.103257179260254,18.296897888183594,-24.199331283569336,-16.07509994506836,-8.604363441467285,-21.317703247070312,-5.482265949249268,-2.439553737640381,-13.843992233276367,-4.132735252380371,-2.4573941230773926,-8.03724193572998,-1.6399965286254883,-4.324702739715576,-8.216025352478027,-2.257894277572632,-4.7535929679870605,Talk
Dataset/ConversationWithoutTune/15.amr,0.3114561140537262,0.46333475987427886,0.2657469391627661,0.1935020536184311,979.7315324894945,774.0831860780767,24.49772428800157,0.0001018212060444057,1764.8257987710251,0.06959366865238285,1.8605068126788562,0.001157500588685203,-241.9149932861328,169.6568603515625,-29.28923797607422,1.9252718687057495,13.3042631149292,-32.67927932739258,-11.828964233398438,-7.458763122558594,-25.755043029785156,-6.170109748840332,-5.069519519805908,-14.566970825195312,-1.3298454284667969,-6.185344219207764,-10.367836952209473,1.8943896293640137,-5.796665668487549,-8.480409622192383,2.8121085166931152,-5.716253280639648,Talk
Dataset/ConversationWithoutTune/14.amr,0.3404005467891693,0.5098406517215106,0.27233694160403427,0.15408110618591309,1022.7072200505806,734.6938336803838,23.1790040813059,0.008786654099822044,1694.4925132147112,0.08201961733174509,1.4513412422171685,-0.0011686010408020725,-272.2914733886719,161.21121215820312,-19.47794532775879,6.308201313018799,9.231346130371094,-32.5926513671875,-7.327291965484619,-4.679019927978516,-24.551044464111328,-4.371615409851074,-3.9584004878997803,-14.853358268737793,-0.6777163147926331,-5.744056701660156,-12.863012313842773,-0.1034015640616417,-5.78834867477417,-10.39337158203125,0.8179497718811035,-4.66534948348999,Talk
Dataset/ConversationWithoutTune/9.amr,0.2599908113479614,0.4315789660901378,0.2610679269701265,0.16847944259643555,741.8970860261228,562.0623738134229,23.348849981017132,0.13671915233135223,1239.7071823621857,0.05396279114281109,1.4351109700119864,-0.0007599619508811832,-315.1493835449219,151.00253295898438,-2.3558826446533203,0.13311465084552765,3.9707751274108887,-24.53184700012207,-9.704304695129395,-5.992908954620361,-21.33844757080078,-10.704330444335938,-4.387917995452881,-7.93820333480835,-4.170937538146973,-8.124715805053711,-7.526637077331543,-0.7652831077575684,-7.919022560119629,-8.162751197814941,0.14448490738868713,-5.819209575653076,Talk
Dataset/ConversationWithoutTune/8.aac,0.28302815556526184,0.45673410299370615,0.26381092810682044,0.10367715358734131,1148.4357910627082,887.4180199679402,24.203987229290032,0.012972847558557987,1978.540508563702,0.10120567908653846,0.8203040249072933,0.0036433018798639567,-343.2056884765625,131.6091766357422,-24.791423797607422,-13.833612442016602,-12.068520545959473,-28.146772384643555,0.2568625509738922,0.19390416145324707,-11.089116096496582,4.578318119049072,1.7619926929473877,-7.934167861938477,0.82891845703125,-1.9745004177093506,-8.085294723510742,0.7882475852966309,-1.061486840248108,-5.879419803619385,1.7861436605453491,-1.089005708694458,Talk
